Date,Date/Time,Ride,Zone,Wait Time,Visitor Count
2024-01-01,17,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,412
2024-01-01,17,Magic Potion Spin,Far Far Away,5.0,69
2024-01-01,17,Puss In Boots’ Giant Journey,Far Far Away,38.333333333333336,1215
2024-01-01,17,Revenge of the Mummy,Ancient Egypt,8.333333333333334,30
2024-01-01,17,Sesame Street Spaghetti Space Chase,New York,5.0,24
2024-01-01,17,Shrek 4-D Adventure,Far Far Away,20.0,514
2024-01-01,17,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5.0,102
2024-01-01,17,Treasure Hunters,Ancient Egypt,40.0,366
2024-01-01,18,Accelerator,Sci-Fi City,5.0,36
2024-01-01,18,Battlestar Galactica: CYLON,Sci-Fi City,5.0,73
2024-01-01,18,Battlestar Galactica: HUMAN,Sci-Fi City,5.0,102
2024-01-01,18,Canopy Flyer,The Lost World,31.666666666666668,446
2024-01-01,18,Dino-Soarin,The Lost World,20.0,432
2024-01-01,18,Enchanted Airways,Far Far Away,12.5,166
2024-01-01,18,Jurassic Park Rapids Adventure,The Lost World,29.166666666666668,202
2024-01-01,18,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,284
2024-01-01,18,Magic Potion Spin,Far Far Away,5.0,48
2024-01-01,18,Puss In Boots’ Giant Journey,Far Far Away,22.5,302
2024-01-01,18,Revenge of the Mummy,Ancient Egypt,5.0,61
2024-01-01,18,Sesame Street Spaghetti Space Chase,New York,5.0,58
2024-01-01,18,Shrek 4-D Adventure,Far Far Away,20.0,600
2024-01-01,18,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5.0,54
2024-01-01,18,Treasure Hunters,Ancient Egypt,22.22222222222222,290
2024-01-01,19,Accelerator,Sci-Fi City,5.0,49
2024-01-01,19,Battlestar Galactica: CYLON,Sci-Fi City,5.0,39
2024-01-01,19,Battlestar Galactica: HUMAN,Sci-Fi City,5.0,87
2024-01-01,19,Canopy Flyer,The Lost World,15.0,231
2024-01-01,19,Dino-Soarin,The Lost World,8.75,85
2024-01-01,19,Enchanted Airways,Far Far Away,10.0,79
2024-01-01,19,Jurassic Park Rapids Adventure,The Lost World,8.75,45
2024-01-01,19,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,157
2024-01-01,19,Magic Potion Spin,Far Far Away,5.0,46
2024-01-01,19,Puss In Boots’ Giant Journey,Far Far Away,20.0,418
2024-01-01,19,Revenge of the Mummy,Ancient Egypt,5.0,135
2024-01-01,19,Sesame Street Spaghetti Space Chase,New York,5.0,19
2024-01-01,19,Shrek 4-D Adventure,Far Far Away,20.0,370
2024-01-01,19,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5.0,147
2024-01-01,19,Treasure Hunters,Ancient Egypt,20.0,181
2024-01-02,10,Accelerator,Sci-Fi City,5.0,34
