Date,24h_time,Ride_name,Zone_name,Wait_time,Visitor_count
1/1/24,18,Battlestar Galactica: HUMAN,Sci-Fi City,5,102
1/1/24,18,Canopy Flyer,The Lost World,31.666666666666668,446
1/1/24,18,Dino-Soarin,The Lost World,20,432
1/1/24,18,Enchanted Airways,Far Far Away,12.5,166
1/1/24,18,Jurassic Park Rapids Adventure,The Lost World,29.166666666666668,202
1/1/24,18,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,284
1/1/24,18,Magic Potion Spin,Far Far Away,5,48
1/1/24,18,Puss In Boots’ Giant Journey,Far Far Away,22.5,302
1/1/24,18,Revenge of the Mummy,Ancient Egypt,5,61
1/1/24,18,Sesame Street Spaghetti Space Chase,New York,5,58
1/1/24,18,Shrek 4-D Adventure,Far Far Away,20,600
1/1/24,18,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5,54
1/1/24,18,Treasure Hunters,Ancient Egypt,22.22222222222222,290
1/1/24,19,Accelerator,Sci-Fi City,5,49
1/1/24,19,Battlestar Galactica: CYLON,Sci-Fi City,5,39
1/1/24,19,Battlestar Galactica: HUMAN,Sci-Fi City,5,87
1/1/24,19,Canopy Flyer,The Lost World,15,231
1/1/24,19,Dino-Soarin,The Lost World,8.75,85
1/1/24,19,Enchanted Airways,Far Far Away,10,79
1/1/24,19,Jurassic Park Rapids Adventure,The Lost World,8.75,45
1/1/24,19,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,157
1/1/24,19,Magic Potion Spin,Far Far Away,5,46
1/1/24,19,Puss In Boots’ Giant Journey,Far Far Away,20,418
1/1/24,19,Revenge of the Mummy,Ancient Egypt,5,135
1/1/24,19,Sesame Street Spaghetti Space Chase,New York,5,19
1/1/24,19,Shrek 4-D Adventure,Far Far Away,20,370
1/1/24,19,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5,147
1/1/24,19,Treasure Hunters,Ancient Egypt,20,181
2/1/24,10,Accelerator,Sci-Fi City,5,34
2/1/24,10,Battlestar Galactica: CYLON,Sci-Fi City,5,109
2/1/24,10,Battlestar Galactica: HUMAN,Sci-Fi City,5,69
2/1/24,10,Canopy Flyer,The Lost World,5,44
2/1/24,10,Dino-Soarin,The Lost World,5,72
2/1/24,10,Enchanted Airways,Far Far Away,5,79
2/1/24,10,Jurassic Park Rapids Adventure,The Lost World,5,36
2/1/24,10,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,213
2/1/24,10,Magic Potion Spin,Far Far Away,5,30
2/1/24,10,Puss In Boots’ Giant Journey,Far Far Away,5,93
2/1/24,10,Revenge of the Mummy,Ancient Egypt,5,132
2/1/24,10,Sesame Street Spaghetti Space Chase,New York,17.5,195
2/1/24,10,Shrek 4-D Adventure,Far Far Away,20,484
2/1/24,10,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,17.5,321
2/1/24,10,Treasure Hunters,Ancient Egypt,5.833333333333333,19
2/1/24,11,Accelerator,Sci-Fi City,5,46
2/1/24,11,Battlestar Galactica: CYLON,Sci-Fi City,40,1974
2/1/24,11,Battlestar Galactica: HUMAN,Sci-Fi City,19.583333333333332,645
2/1/24,11,Canopy Flyer,The Lost World,22.083333333333332,182
2/1/24,11,Dino-Soarin,The Lost World,8.75,78
2/1/24,11,Enchanted Airways,Far Far Away,5,79
2/1/24,11,Jurassic Park Rapids Adventure,The Lost World,7.916666666666667,49
2/1/24,11,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,189
2/1/24,11,Magic Potion Spin,Far Far Away,5,17
2/1/24,11,Puss In Boots’ Giant Journey,Far Far Away,7.5,57
2/1/24,11,Revenge of the Mummy,Ancient Egypt,5,67
2/1/24,11,Sesame Street Spaghetti Space Chase,New York,38.333333333333336,436
2/1/24,11,Shrek 4-D Adventure,Far Far Away,20,487
2/1/24,11,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,36.666666666666664,1405
2/1/24,11,Treasure Hunters,Ancient Egypt,27.5,312
2/1/24,12,Accelerator,Sci-Fi City,16.666666666666668,277
2/1/24,12,Battlestar Galactica: CYLON,Sci-Fi City,45,889
2/1/24,12,Battlestar Galactica: HUMAN,Sci-Fi City,55,1168
2/1/24,12,Canopy Flyer,The Lost World,40,840
2/1/24,12,Dino-Soarin,The Lost World,23.333333333333332,113
2/1/24,12,Enchanted Airways,Far Far Away,5,70
2/1/24,12,Jurassic Park Rapids Adventure,The Lost World,25,202
2/1/24,12,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,385
2/1/24,12,Magic Potion Spin,Far Far Away,5,24
2/1/24,12,Puss In Boots’ Giant Journey,Far Far Away,30.833333333333332,676
2/1/24,12,Revenge of the Mummy,Ancient Egypt,8.75,102
2/1/24,12,Sesame Street Spaghetti Space Chase,New York,20,350
2/1/24,12,Shrek 4-D Adventure,Far Far Away,20,331
2/1/24,12,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,65,2758
2/1/24,12,Treasure Hunters,Ancient Egypt,30,159
2/1/24,13,Accelerator,Sci-Fi City,20,275
2/1/24,13,Battlestar Galactica: CYLON,Sci-Fi City,45,1548
2/1/24,13,Battlestar Galactica: HUMAN,Sci-Fi City,70,3174
2/1/24,13,Canopy Flyer,The Lost World,35.833333333333336,385
2/1/24,13,Dino-Soarin,The Lost World,14.583333333333334,276
2/1/24,13,Enchanted Airways,Far Far Away,5,48
2/1/24,13,Jurassic Park Rapids Adventure,The Lost World,30,109
2/1/24,13,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,299
2/1/24,13,Magic Potion Spin,Far Far Away,5,7
2/1/24,13,Puss In Boots’ Giant Journey,Far Far Away,30,167
2/1/24,13,Revenge of the Mummy,Ancient Egypt,20,388
2/1/24,13,Sesame Street Spaghetti Space Chase,New York,27.916666666666668,170
2/1/24,13,Shrek 4-D Adventure,Far Far Away,20,412
2/1/24,13,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,22.916666666666668,681
2/1/24,13,Treasure Hunters,Ancient Egypt,40,387
2/1/24,14,Accelerator,Sci-Fi City,10.833333333333334,149
2/1/24,14,Battlestar Galactica: CYLON,Sci-Fi City,63.333333333333336,2977
2/1/24,14,Battlestar Galactica: HUMAN,Sci-Fi City,29.583333333333332,178
2/1/24,14,Canopy Flyer,The Lost World,44.166666666666664,410
2/1/24,14,Dino-Soarin,The Lost World,28.333333333333332,295
2/1/24,14,Enchanted Airways,Far Far Away,7.5,36
2/1/24,14,Jurassic Park Rapids Adventure,The Lost World,55,1211
2/1/24,14,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,126
2/1/24,14,Magic Potion Spin,Far Far Away,5,68
2/1/24,14,Puss In Boots’ Giant Journey,Far Far Away,45.833333333333336,650
2/1/24,14,Revenge of the Mummy,Ancient Egypt,24.166666666666668,492
2/1/24,14,Sesame Street Spaghetti Space Chase,New York,13.333333333333334,99
2/1/24,14,Shrek 4-D Adventure,Far Far Away,20,364
2/1/24,14,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5,67
2/1/24,14,Treasure Hunters,Ancient Egypt,40,851
2/1/24,15,Accelerator,Sci-Fi City,10,29
2/1/24,15,Battlestar Galactica: CYLON,Sci-Fi City,46,1206
2/1/24,15,Battlestar Galactica: HUMAN,Sci-Fi City,25,196
2/1/24,15,Canopy Flyer,The Lost World,45,753
2/1/24,15,Dino-Soarin,The Lost World,40,706
2/1/24,15,Enchanted Airways,Far Far Away,22.5,268
2/1/24,15,Jurassic Park Rapids Adventure,The Lost World,80,2572
2/1/24,15,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,136
2/1/24,15,Magic Potion Spin,Far Far Away,5,62
2/1/24,15,Puss In Boots’ Giant Journey,Far Far Away,43,560
2/1/24,15,Revenge of the Mummy,Ancient Egypt,13,660
2/1/24,15,Sesame Street Spaghetti Space Chase,New York,5,11
2/1/24,15,Shrek 4-D Adventure,Far Far Away,20,640
2/1/24,15,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5,147
2/1/24,15,Treasure Hunters,Ancient Egypt,40,530
2/1/24,16,Accelerator,Sci-Fi City,6.666666666666667,35
2/1/24,16,Battlestar Galactica: CYLON,Sci-Fi City,31.666666666666668,2071
2/1/24,16,Battlestar Galactica: HUMAN,Sci-Fi City,21.666666666666668,246
2/1/24,16,Canopy Flyer,The Lost World,43.333333333333336,586
2/1/24,16,Dino-Soarin,The Lost World,30,300
2/1/24,16,Enchanted Airways,Far Far Away,22.5,276
2/1/24,16,Jurassic Park Rapids Adventure,The Lost World,28.75,243
2/1/24,16,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,169
2/1/24,16,Magic Potion Spin,Far Far Away,5,30
2/1/24,16,Puss In Boots’ Giant Journey,Far Far Away,40,1369
2/1/24,16,Revenge of the Mummy,Ancient Egypt,17.5,474
2/1/24,16,Shrek 4-D Adventure,Far Far Away,20,724
2/1/24,16,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5,100
2/1/24,16,Treasure Hunters,Ancient Egypt,40,701
2/1/24,17,Accelerator,Sci-Fi City,5,38
2/1/24,17,Battlestar Galactica: CYLON,Sci-Fi City,13.75,364
2/1/24,17,Battlestar Galactica: HUMAN,Sci-Fi City,6.25,51
2/1/24,17,Canopy Flyer,The Lost World,20.833333333333332,349
2/1/24,17,Dino-Soarin,The Lost World,12.083333333333334,480
2/1/24,17,Enchanted Airways,Far Far Away,20,528
2/1/24,17,Jurassic Park Rapids Adventure,The Lost World,7.5,24
2/1/24,17,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,197
2/1/24,17,Magic Potion Spin,Far Far Away,5,39
2/1/24,17,Puss In Boots’ Giant Journey,Far Far Away,12.5,408
2/1/24,17,Revenge of the Mummy,Ancient Egypt,5,115
2/1/24,17,Shrek 4-D Adventure,Far Far Away,20,522
2/1/24,17,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5,15
2/1/24,17,Treasure Hunters,Ancient Egypt,40,874
2/1/24,18,Accelerator,Sci-Fi City,5,62
2/1/24,18,Battlestar Galactica: CYLON,Sci-Fi City,5,49
2/1/24,18,Battlestar Galactica: HUMAN,Sci-Fi City,5,121
2/1/24,18,Canopy Flyer,The Lost World,24.166666666666668,247
2/1/24,18,Dino-Soarin,The Lost World,10,28
2/1/24,18,Enchanted Airways,Far Far Away,10,25
